"Item Name
",Short Name,Knight,Warrior,Paladin,Assassin,Rogue,Trickster,Archer,Huntress,Mystic,Wizard,Necromancer,Ninja,Samurai,Priest,Sorcerer,Bard,Summoner,Kensei
Saint Nicolas' Blade,Acclaim reskin,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter's Breath Wand,Recomp reskin,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0
Frosty's Walking Stick,Cosmic reskin,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0
Yuki,Masamune reskin,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5
Frost Drake Hide Armor,Hydra reskin,0,0,0,5,5,5,5,5,0,0,0,5,0,0,0,0,0,0
Frost Elementalist Robe,Gsorc reskin,0,0,0,0,0,0,0,0,5,5,5,0,0,5,5,5,5,0
Frost Citadel Armor,Acrop reskin,5,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
Cloak of Winter,t6 reskin cloak,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Coalbearing Quiver,t6 reskin quiver,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Vigil Spell,t6 reskin spell,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Nativity Tome,t6 reskin tome,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Pathfinder's Helm,t6 reskin helm,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resounding Shield,t6 reskin shield,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advent Seal,t6 reskin seal,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holly Poison,t6 reskin poison,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skull of Krampus,t6 reskin skull,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Greedsnatcher Trap,t6 reskin trap,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Snowbound Orb,t6 reskin orb,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Ornamental Prism,t6 reskin prism,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Scepter of Sainthood,t6 reskin scepter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Ilex Star,t6 reskin star,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Peppermint Wakizashi,t6 reskin wakizashi,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
Oryxmas Carol,t6 reskin lute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Mace of the North Pole,t6 reskin mace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
UT. Oryxmas Ornament: Energized,Blue Ornament,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
UT. Oryxmas Ornament: Weak,Yellow Ornament,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
UT. Oryxmas Ornament: Exposed,Red Ornament,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ornaments of Unity,christmas set ring,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Cloak of the Darkened Sun,oryx cloak,15,15,15,15,25,15,15,15,15,15,15,15,15,15,15,15,15,15
Mad Javelin,oryx quiver,15,15,15,15,15,15,25,15,15,15,15,15,15,15,15,15,15,15
Cursed Spire Spell,oryx spell,15,15,15,15,15,15,15,15,15,25,15,15,15,15,15,15,15,15
Tome of the Tarnished Gods,oryx tome,15,15,15,15,15,15,15,15,15,15,15,15,15,25,15,15,15,15
Helm of Exalted Might,oryx helm,15,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Brutal Buckler,oryx shield,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Seal of the Battle God,oryx seal,15,15,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Tyrant's Toxin,oryx poison,15,15,15,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Demon Lord's Skull,oryx skull,15,15,15,15,15,15,15,15,15,15,25,15,15,15,15,15,15,15
Blacklight Artifice,oryx trap,15,15,15,15,15,15,15,25,15,15,15,15,15,15,15,15,15,15
Orb of Conquest,oryx orb,15,15,15,15,15,15,15,15,25,15,15,15,15,15,15,15,15,15
Prism of Shattered Light,oryx prism,15,15,15,15,15,25,15,15,15,15,15,15,15,15,15,15,15,15
Siege Scepter,oryx scepter,15,15,15,15,15,15,15,15,15,15,15,15,15,15,25,15,15,15
Rage Claws,oryx star,15,15,15,15,15,15,15,15,15,15,15,25,15,15,15,15,15,15
Amaterasu,oryx wakizashi,15,15,15,15,15,15,15,15,15,15,15,15,25,15,15,15,15,25
Chief's War Horn,oryx lute,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,25,15,15
Tideturner Trident,trident,5,5,5,5,5,5,5,5,10,15,10,5,5,5,5,5,5,5
Slurpian Sea Scroll,sea scroll,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10
Oceanic Apparel,,10,10,10,10,10,10,10,10,15,20,15,10,10,15,15,15,15,10
Imperial Keepsake,,7,7,7,7,7,7,7,7,7,12,7,7,7,7,7,7,7,7
Kiritsukeru,,10,10,10,10,10,10,10,10,10,10,10,15,20,10,10,10,10,20
Watarimono,,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20
Reinforced Root Armor,root armor,15,15,15,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20
Traveler's Trinket,,10,10,10,10,10,10,10,10,10,10,10,10,15,10,10,10,10,15
Magic Wand,,5,5,5,5,5,5,5,5,5,5,5,5,5,10,15,5,10,5
Lightshow Scepter,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10
Magician's Robe,,5,5,5,5,5,5,5,5,10,10,10,5,5,10,15,10,10,5
Performer's Hat,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,7,7,7
Bow of Deep Enchantment,,15,15,15,15,15,15,25,25,15,15,15,15,15,15,15,25,15,15
Dagger of Dire Hatred,,15,15,15,25,25,25,15,15,15,15,15,15,15,15,15,15,15,15
Kusanagi,,15,15,15,15,15,15,15,15,15,15,15,25,25,15,15,15,15,25
Staff of the Fundamental Core,T14 Staff,15,15,15,15,15,15,15,15,25,25,25,15,15,15,15,15,15,15
Sword of Majesty,,25,25,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Wand of Retribution,T14 Wand,15,15,15,15,15,15,15,15,15,15,15,15,15,25,25,15,25,15
Annihilation Armor,T15 Heavy,20,20,20,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20
Leviathan Armor,T15 Leather,10,10,10,20,20,20,20,20,10,10,10,20,10,10,10,10,10,10
Robe of the Ancient Intellect,T15 Robe,10,10,10,10,10,10,10,10,20,20,20,10,10,20,20,20,20,10
Burning Retribution Spell,T7 Spell,10,10,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10
Cloak of Nightmares,T7 Cloak,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10
Depthchaser Trap,T7 Trap,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10
Dimensiongate Orb,T7 Orb,10,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10
Dynastic Star,T7 Star,10,10,10,10,10,10,10,10,10,10,10,30,10,10,10,10,10,10
Helm of the Tribune,T7 Helm,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mindwaster Skull,T7 Skull,10,10,10,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10
Nebular Lute,T7 Lute,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,10,10
Necrofish Poison,T7 Poison,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Prism of Reveries,T7 Prism,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10
Quiver of the Autumn King,T7 Quiver,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10
Scepter of the Firmament,T7 Scepter,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,10,10,10
Seal of Invocation,T7 Seal,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Shield of Orcish Regalia,T7 Shield,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Tome of Hallowed Language,T7 Tome,10,10,10,10,10,10,10,10,10,10,10,10,10,30,10,10,10,10
Virtuous Wakizashi,T7 Waki,10,10,10,10,10,10,10,10,10,10,10,10,30,10,10,10,10,30
Divinity,,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Oryx's Escutcheon,,40,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Gladiator Guard,,40,40,40,30,30,30,30,30,30,30,30,30,40,30,30,30,30,40
Exalted God's Horn,Horn,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Lumiaire,,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,30,40,30
Chaotic Scripture,,30,30,30,30,30,30,30,30,30,30,30,30,30,40,30,30,30,30
Vesture of Duality,,30,30,30,30,30,30,30,30,30,40,40,30,30,40,40,40,40,30
Divine Coronation,,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Avarice,,30,30,30,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30
Gambler's Fate,,20,20,20,20,20,30,20,20,20,20,20,20,20,20,20,20,20,20
Turncoat Cape,,20,20,20,30,30,30,30,30,20,20,20,30,20,20,20,20,20,20
Collector's Monocle,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Superior,,30,30,30,30,30,30,30,30,40,40,40,30,30,30,30,30,30,30
Genesis Spell,,25,25,25,25,25,25,25,25,25,35,25,25,25,25,25,25,25,25
Diplomatic Robe,,30,30,30,30,30,30,30,30,40,40,40,30,30,40,40,40,40,30
Chancellor's Cranium,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Enforcer,,30,30,30,30,30,30,30,30,30,30,30,40,40,30,30,30,30,40
Ballistic Star,,15,15,15,15,15,15,15,15,15,15,15,25,15,15,15,15,15,15
Centaur's Shielding,,25,25,25,35,35,35,35,35,25,25,25,35,25,25,25,25,25,25
Battallion Banner,,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Mayhem Medallion,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Ring of Wrath,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Autarch Amulet,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
S.T.A.F.F.,,20,20,20,20,20,20,20,20,25,25,25,20,20,20,20,20,20,20
B.O.W.,,10,10,10,10,10,10,15,15,10,10,10,10,10,10,10,15,10,10
Q.U.I.V.E.R.,,7,7,7,7,7,7,15,7,7,7,7,7,7,7,7,7,7,7
E.Y.E.,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Resplendent Bow,,5,5,5,5,5,5,15,10,5,5,5,5,5,5,5,10,5,5
Embellished Quiver,,5,5,5,5,5,5,15,5,5,5,5,5,5,5,5,5,5,5
Ornate Armor,,5,5,5,10,10,10,10,10,5,5,5,10,5,5,5,5,5,5
Aquamarine Amulet,,5,5,5,5,5,5,15,5,5,5,5,5,5,5,5,5,5,5
Soulcursed Scythe,,5,5,5,10,20,10,5,5,5,5,5,5,5,5,5,5,5,5
Vampiric Cape,,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10
Hallowed Hide,,15,15,15,20,25,20,20,20,15,15,15,20,15,15,15,15,15,15
Ruthven's Rosary,,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10
Corsair Ring,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Snake Eye Ring,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Spider Shuriken,,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2
Poison Fang Dagger,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arcane Rapier,,13,13,13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Amber Encrusted Helmet,Ruins Helmet,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sandstone Seal,Ruins Seal,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ring of Divine Faith,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chasuble of Holy Light,,1,1,1,1,1,1,1,1,3,3,3,1,1,3,3,3,3,1
St. Abraham's Wand,St. Abraham Wand,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1
Snakeskin Armor,,1,1,1,3,3,3,3,3,1,1,1,3,1,1,1,1,1,1
Harmonious Harp,,10,10,10,10,10,10,15,15,10,10,10,10,10,10,10,20,10,10
Angel's Fanfare,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10
Wings of Sanctity,,5,5,5,5,5,5,5,5,10,10,10,5,5,10,10,15,10,5
Heavenly Halo,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5
Mini Malus Sorcerer,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Hermit Wizard Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
captains ring,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bramble Bow,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cocoon Quiver,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mini Desire Troll Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Brass Chamberstick,,5,5,5,5,5,5,5,5,5,5,5,5,5,15,15,5,15,5
Evergreen Dagger,,5,5,5,15,15,15,5,5,5,5,5,5,5,5,5,5,5,5
Candy Katana,,5,5,5,5,5,5,5,5,5,5,5,15,15,5,5,5,5,15
Sleigh Bell Staff,,5,5,5,5,5,5,5,5,15,15,15,5,5,5,5,5,5,5
Garland Bow,,5,5,5,5,5,5,15,15,5,5,5,5,5,5,5,15,5,5
Cheerful Chipper,,15,15,15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Shadow Serpent Sidearm,,10,10,10,10,10,10,10,10,10,10,10,10,15,10,10,10,10,15
Mini Lord Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Red-Nosed Friend Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Antlered Behemoth Wizard Skin,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Seal of the cubic Conundra,,10,10,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cloak of the cubic Enigma,,12,12,12,12,18,12,12,12,12,12,12,12,12,12,12,12,12,12
Crystal Key,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Squaroid Staff,,5,5,5,5,5,5,5,5,10,10,15,5,5,5,5,5,5,5
Cubic Frame,,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10
Polygonal Garbs,,10,10,10,10,10,10,10,10,15,15,20,10,10,15,15,15,15,10
Cuband,,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10
Dalvar's Battle Axe,Dalvars Battle Axe,15,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sunken Buckler,,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Chainmail Body Armor,,15,10,10,5,5,5,5,5,5,5,5,5,10,5,5,5,5,10
Gjallarhorn,,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
C.L.A.W.,,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,5,15,5
B.O.O.M.,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10
A.R.M.O.R.,,5,5,5,5,5,5,5,5,10,10,10,5,5,10,10,10,15,5
C.O.N.T.R.O.L.L.E.R.,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10
Sovereign Mace,T6 Mace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Grandmaster Mace,T7 Mace,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,10
Recursion Mace,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5
Mace of the Celestial Forest,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,5
Crystal Mace,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,25,15
Mace of the Depths,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10
Hivemind Mace,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,25,15
Mace of the North Pole,T6 christmas Mace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Mechanical Mace,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,25,15
Incubation Mace,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,35,25
Fallen One's Blade,Fallen Ones Blade,17,22,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Abyssal Insignia,,15,15,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Vortex Plating,,15,15,20,10,10,10,10,10,10,10,10,10,15,10,10,10,10,15
Eye of the Void,,8,8,15,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Archangel's Judgement,Archangels Judgement,12,12,12,17,17,22,12,12,12,12,12,12,12,12,12,12,12,12
Daevite Progenitor,,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10
Seraphim's Guard,,10,10,10,15,15,20,15,15,10,10,10,10,10,10,10,10,10,10
Flames of Genesis,,10,10,10,10,10,17,10,10,10,10,10,10,10,10,10,10,10,10
Armor of Heavenly Light,,10,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
Shadowbeast Hide,,0,0,0,10,10,10,10,10,0,0,0,10,0,0,0,0,0,0
Robe of Dark Summoning,,0,0,0,0,0,0,0,0,10,10,10,0,0,10,10,10,10,0
Staff of Silver Wings,,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0
Bow of Sky's Glory,Bow of the Sky's Glory,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,10,0,0
Skybound Blade,,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10
Wand of the Summoned One,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0
Sword of the Unending Chaos,,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dagger of Eternal Chaos,,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
Baby Basilisk,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ember of Daeva,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Ember of the Void,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Antinomy Artifact,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sprite Wand,,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1
Staff of the Crystal Serpent,,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1
Cracked Crystal Skull,,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Crystal Bone Ring,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Robe of the Tlatoani,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Captain's Ring,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Spider Eye Ring,Spider's Eye Ring,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Gem of Adoration,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Gem of Tenderness,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Soulful Affection,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Eligible Bachelor,Eligible Bachelor Rogue Skin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sand Wanderer Trickster Skin,Sand Wanderer,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Eggshell Spider Pet Skin,Eggshell Spider,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Knight,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Warrior,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Paladin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Assasin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Rogue,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Trickster,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Archer,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Huntress,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Mystic,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Wizard,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Necromancer,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Ninja,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Samurai,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Priest,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Sorcerer,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Bard,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stone Summoner,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cheesecake Rogue,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Beefcake Rogue,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Heart of Gold Prism,Heart of Gold,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10
King Rarthur Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Glyph Researcher Trickster Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mini Marble Colossus Pet Skin,MBC Pet Skin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Silent Samurai Skin,Silent Samurai,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Spatula Dagger,,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
Nail Gun Bow,,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,10,0,0
Screwdriver Staff,,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0
Measuring Wand,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0
Hammer Sword,,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sawblade Katana,,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5
Fitted Construction Vest,,5,5,5,15,15,15,15,15,5,5,5,15,5,5,5,5,5,5
Magic Construction Vest,,5,5,5,5,5,5,5,15,15,15,15,5,5,15,15,15,15,5
Heavy Construction Vest,,15,15,15,5,5,5,5,5,5,5,5,5,15,5,5,5,5,15
Laborer's Hard Hat,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Operator's Hard Hat,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Foreman's Hard Hat,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Adventurer's Belt,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mini White Demon,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Fairy Ring,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bee Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Honey Scepter,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2
Orb of Sweet Demise,Honey Orb,2,2,2,2,2,2,2,2,7,2,2,2,2,2,2,2,2,2
Fire Battlemaiden Wizard Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Coral Ring,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1000 Alive Fame,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
30000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
35000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
40000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
45000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
50000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
55000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
60000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
65000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
70000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
75000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
80000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
85000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
90000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
95000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
100000 Alive Fame,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
The Forgotten Ring,,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Royal Guard's Cuirass,,35,35,35,25,25,25,25,25,25,25,25,25,35,25,25,25,25,35
Valor,,25,25,25,25,25,25,25,25,25,25,25,30,30,25,25,25,25,30
Vanguard's Visage,,25,35,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Sentinel's Sidearm,,25,25,25,25,25,25,25,25,25,25,25,25,35,25,25,25,25,35
Vest of Abandoned Shadows,,25,25,25,35,35,35,35,35,25,25,25,35,25,25,25,25,25,25
Dusky Catalyst,,25,25,25,25,25,25,25,25,25,25,25,25,25,35,35,25,35,25
Primal Arcana,,25,25,25,25,25,25,25,25,35,25,25,25,25,25,25,25,25,25
Polarity Poison,,25,25,25,35,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Mantle of the Monarchy,,25,25,25,25,25,25,25,25,35,35,35,25,25,35,35,35,35,25
